Loss is 2
Reading data
Loaded data
(5546, 3, 140, 210)
Epoch 1 loss = -0.30645293891429903
Epoch 2 loss = -0.3907276230305433
Epoch 3 loss = -0.4483432768533627
Epoch 4 loss = -0.48353521232803665
Epoch 5 loss = -0.5060852555682261
Epoch 6 loss = -0.5255298457791407
Epoch 7 loss = -0.5502019290377697
Epoch 8 loss = -0.5716910012811423
Epoch 9 loss = -0.592415817975998
Epoch 10 loss = -0.6150207447012266
Epoch 11 loss = -0.6399443889657657
Epoch 12 loss = -0.6645896028975645
Epoch 13 loss = -0.6927347146719695
Epoch 14 loss = -0.7195102818061908
Epoch 15 loss = -0.7465671552966039
Epoch 16 loss = -0.7724554346998532
Epoch 17 loss = -0.8016835554440817
Epoch 18 loss = -0.8373576662441095
Epoch 19 loss = -0.8694751047343016
Epoch 20 loss = -0.9107521624614795
Epoch 21 loss = -0.9444814569751422
Epoch 22 loss = -0.9742762777457634
Epoch 23 loss = -1.008612804437677
Epoch 24 loss = -1.0425959960122904
Epoch 25 loss = -1.0738072931518157
Epoch 26 loss = -1.101526544565956
Epoch 27 loss = -1.1279102743168672
Epoch 28 loss = -1.1583821586022773
Epoch 29 loss = -1.189851224993666
Epoch 30 loss = -1.218766976892948
Dice: 0.4480906
Loss: -0.3354305328261956
